=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1953400 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953500 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953600 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953700 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953800 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953900 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1954000 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1954100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954200 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1954900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955100 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955200 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955300 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955400 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955500 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955600 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955700 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955800 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1955900 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1956000 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1956100 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1956200 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1956300 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 1
Time: 1956400 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1956500 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1956600 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1956700 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1956800 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1956900 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957000 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957100 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957200 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957300 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957400 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957500 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957600 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957700 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1957800 | BTNL: 1 | BTNR: 0      | LEDL: 1 | LEDR: 0
